Title,ASIN,Series,Book's Order in Series,Series Name,Paperbacks,Distribution,Hardcover,Ebooks (Paid),Ebooks (Free),Audiobooks,Ad Orders,Total Ad Clicks,Ad Clicks (AMZ),Ad Clicks (FB),Reads,Gross Royalties ($),Total Spending ($),Spending (AMZ) ($),Spending (FB) ($),Spending (BookBub) ($),Spending (External) ($),Net Royalties ($)
Simply Wittgenstein (Unabridged),BK_ACX0_082069,,,,0,,0,0,0,1409.0,0,0,0,0,0,12740.77,0,0,0,0,0,2548.15
Simply Gödel (Unabridged),BK_ACX0_118878,,,,0,,0,0,0,927.0,0,0,0,0,0,9494.63,0,0,0,0,0,1898.93
Simply Dirac (Unabridged),BK_ACX0_080882,,,,0,,0,0,0,655.0,0,0,0,0,0,5394.57,0,0,0,0,0,1078.91
Simply Freud: Great Lives (Unabridged),BK_ACX0_125012,,,,0,,0,0,0,447.0,0,0,0,0,0,4535.58,0,0,0,0,0,907.12
"Simply Hegel : Great Lives, Book 18 (Unabridged)",BK_ACX0_200119,,,,0,,0,0,0,403.0,0,0,0,0,0,3188.62,0,0,0,0,0,883.47
The Paris Husband: How It Really Was Between Ernest and Hadley Hemingway (Unabridged),BK_ACX0_139544,,,,0,,0,0,0,167.0,0,0,0,0,0,1397.81,0,0,0,0,0,559.12
Simply Nietzsche (Great Lives) (Unabridged),BK_ACX0_191890,,,,0,,0,0,0,231.0,0,0,0,0,0,1716.32,0,0,0,0,0,482.26
Simply Dickens (Unabridged),BK_ACX0_070656,,,,0,,0,0,0,170.0,0,0,0,0,0,2057.44,0,0,0,0,0,411.49
Simply Riemann: Great Lives (Unabridged),BK_ACX0_236631,,,,0,,0,0,0,179.0,0,0,0,0,0,1533.48,0,0,0,0,0,383.37
Simply Schrödinger (Unabridged),BK_ACX0_300444,,,,0,,0,0,0,102.0,0,0,0,0,0,855.0,0,0,0,0,0,213.75
Simply Descartes - Great Lives (Unabridged),BK_ACX0_151522,,,,0,,0,0,0,64.0,0,0,0,0,0,493.1,0,0,0,0,0,197.24
"Simply Sartre: Great Lives, Book 23 (Unabridged)",BK_ACX0_302147,,,,0,,0,0,0,79.0,0,0,0,0,0,782.98,0,0,0,0,0,195.74
Simply Faulkner (Unabridged),BK_ACX0_123175,,,,0,,0,0,0,55.0,0,0,0,0,0,489.15,0,0,0,0,0,195.66
"Simply Stravinsky: Great Lives, Book 19 (Unabridged)",BK_ACX0_288134,,,,0,,0,0,0,72.0,0,0,0,0,0,751.7,0,0,0,0,0,187.92
Simply Eliot: Great Lives (Unabridged),BK_ACX0_149151,,,,0,,0,0,0,55.0,0,0,0,0,0,461.49,0,0,0,0,0,184.6
Simply Tolstoy (Unabridged),BK_ACX0_108460,,,,0,,0,0,0,89.0,0,0,0,0,0,909.4,0,0,0,0,0,181.88
Simply Napoleon (Unabridged),BK_ACX0_100537,,,,0,,0,0,0,103.0,0,0,0,0,0,780.5,0,0,0,0,0,156.1
"Simply Proust:  Great Lives, Book 24 (Unabridged)",BK_ACX0_280606,,,,0,,0,0,0,73.0,0,0,0,0,0,591.52,0,0,0,0,0,147.88
Simply Darwin (Unabridged),BK_ACX0_071850,,,,0,,0,0,0,77.0,0,0,0,0,0,622.36,0,0,0,0,0,124.47
"Simply Chomsky: Great Lives, Book 26 (Unabridged)",BK_ACX0_280027,,,,0,,0,0,0,56.0,0,0,0,0,0,461.19,0,0,0,0,0,115.3
"Simply Einstein: Great Lives, Book 27 (Unabridged)",BK_ACX0_279903,,,,0,,0,0,0,53.0,0,0,0,0,0,423.94,0,0,0,0,0,105.99
Simply Joyce (Unabridged),BK_ACX0_088231,,,,0,,0,0,0,50.0,0,0,0,0,0,506.4,0,0,0,0,0,101.28
Simply Austen (Unabridged),BK_ACX0_088492,,,,0,,0,0,0,71.0,0,0,0,0,0,477.15,0,0,0,0,0,95.43
Simply Beethoven (Great Lives) (Unabridged),BK_ACX0_275763,,,,0,,0,0,0,34.0,0,0,0,0,0,362.3,0,0,0,0,0,90.58
Simply Beckett (Great Lives) (Unabridged),BK_ACX0_277734,,,,0,,0,0,0,37.0,0,0,0,0,0,290.05,0,0,0,0,0,72.51
"Simply Keynes : Great Lives, Book 32 (Unabridged)",BK_ACX0_359690,,,,0,,0,0,0,35.0,0,0,0,0,0,279.45,0,0,0,0,0,69.86
Simply Hitchcock (Unabridged),BK_ACX0_100488,,,,0,,0,0,0,33.0,0,0,0,0,0,326.96,0,0,0,0,0,65.39
Simply Chopin (Unabridged),BK_ACX0_150467,,,,0,,0,0,0,34.0,0,0,0,0,0,149.85,0,0,0,0,0,59.94
